iter	Passed	Remaining
602	1506	991
603	1507	988
604	1509	985
605	1511	982
606	1514	980
607	1515	977
608	1517	974
609	1528	977
610	1532	975
611	1534	972
612	1536	969
613	1537	966
614	1539	963
615	1543	962
616	1545	959
617	1546	956
618	1548	953
619	1549	949
620	1550	946
621	1552	943
622	1553	940
623	1554	936
624	1556	933
625	1558	930
626	1559	927
627	1560	924
628	1561	921
629	1562	917
630	1563	914
631	1564	911
632	1565	907
633	1567	904
634	1568	901
635	1569	898
636	1570	894
637	1571	891
638	1573	888
639	1574	885
640	1576	882
641	1577	879
642	1578	876
643	1579	872
644	1580	869
645	1580	866
646	1581	863
647	1582	859
648	1583	856
649	1585	853
650	1587	850
651	1588	847
652	1589	844
653	1590	841
654	1591	838
655	1592	835
656	1593	832
657	1594	828
658	1596	825
659	1597	823
660	1598	820
661	1601	817
662	1604	815
663	1605	812
664	1607	809
665	1608	806
666	1609	803
667	1610	800
668	1611	797
669	1612	794
670	1614	791
671	1615	788
672	1617	785
673	1620	783
674	1621	780
675	1622	777
676	1623	774
677	1624	771
678	1625	768
679	1627	765
680	1628	762
681	1631	760
682	1633	757
683	1634	755
684	1636	752
685	1637	749
686	1639	746
687	1640	743
688	1641	740
689	1642	737
690	1646	736
691	1648	733
692	1649	730
693	1650	727
694	1652	725
695	1653	722
696	1654	719
697	1656	716
698	1657	713
699	1659	711
700	1661	708
701	1663	706
702	1665	703
703	1666	700
704	1667	697
705	1669	695
706	1670	692
707	1671	689
708	1672	686
709	1674	683
710	1678	682
711	1679	679
712	1681	676
713	1682	673
714	1683	670
715	1684	668
716	1685	665
717	1686	662
718	1687	659
719	1691	657
720	1692	655
721	1694	652
722	1695	649
723	1696	646
724	1698	644
725	1699	641
726	1700	638
727	1701	635
728	1702	633
729	1705	630
730	1707	628
731	1709	625
732	1710	623
733	1711	620
734	1712	617
735	1713	614
736	1714	611
737	1716	609
738	1717	606
739	1719	604
740	1721	601
741	1722	598
742	1724	596
743	1725	593
744	1726	590
745	1727	588
746	1728	585
747	1730	582
748	1731	580
749	1733	577
750	1735	575
751	1736	572
752	1738	570
753	1739	567
754	1740	564
755	1741	562
756	1742	559
757	1744	556
758	1745	554
759	1746	551
760	1748	549
761	1749	546
762	1751	544
763	1753	541
764	1754	538
765	1755	536
766	1756	533
767	1757	530
768	1758	528
769	1759	525
770	1760	523
771	1762	520
772	1764	518
773	1766	515
774	1767	513
775	1769	510
776	1769	507
777	1771	505
778	1772	502
779	1773	500
780	1774	497
781	1775	494
782	1780	493
783	1782	491
784	1784	488
785	1785	486
786	1786	483
787	1787	480
788	1788	478
789	1790	475
790	1792	473
791	1794	471
792	1796	468
793	1798	466
794	1799	463
795	1800	461
796	1801	458
797	1802	456
798	1803	453
799	1804	451
800	1808	449
801	1810	447
802	1812	444
803	1814	442
804	1815	439
805	1817	437
806	1818	434
807	1819	432
808	1821	430
809	1824	428
810	1826	425
811	1828	423
812	1829	420
813	1830	418
814	1832	415
